first_pref,age_group,gender,education,division,state,ALP_supporter
GRN,ages18to29,Male,highSchoolorCertIorIIorLess,Bass,TAS,0
LNP,ages60plus,Female,gradDipDipCertIIIandIV,Bass,TAS,0
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Braddon,TAS,1
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Melbourne,VIC,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Maribyrnong,VIC,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Fraser,VIC,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Wannon,VIC,0
ALP,ages60plus,Female,gradDipDipCertIIIandIV,Gellibrand,VIC,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Melbourne,VIC,1
Other,ages18to29,Male,postgraduateDegree,Jagajaga,VIC,0
ALP,ages45to59,Male,bachelorDegree,Jagajaga,VIC,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Cooper,VIC,0
GRN,ages45to59,Female,gradDipDipCertIIIandIV,Jagajaga,VIC,0
LNP,ages45to59,Female,bachelorDegree,Goldstein,VIC,0
LNP,ages45to59,Female,bachelorDegree,Goldstein,VIC,0
LNP,ages30to44,Female,bachelorDegree,Goldstein,VIC,0
ALP,ages45to59,Female,bachelorDegree,Goldstein,VIC,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Goldstein,VIC,1
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Macnamara,VIC,1
LNP,ages60plus,Male,bachelorDegree,Menzies,VIC,0
Unsure,ages45to59,Male,gradDipDipCertIIIandIV,Aston,VIC,0
ALP,ages30to44,Female,bachelorDegree,Lalor,VIC,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Bruce,VIC,0
ALP,ages60plus,Female,highSchoolorCertIorIIorLess,Lalor,VIC,1
GRN,ages30to44,Male,gradDipDipCertIIIandIV,Isaacs,VIC,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Aston,VIC,0
GRN,ages30to44,Female,postgraduateDegree,Kooyong,VIC,0
GRN,ages30to44,Male,gradDipDipCertIIIandIV,Kooyong,VIC,0
LNP,ages60plus,Male,bachelorDegree,Kooyong,VIC,0
LNP,ages30to44,Male,postgraduateDegree,Kooyong,VIC,0
LNP,ages45to59,Female,bachelorDegree,Menzies,VIC,0
ALP,ages60plus,Female,gradDipDipCertIIIandIV,Menzies,VIC,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Flinders,VIC,0
LNP,ages30to44,Male,bachelorDegree,Indi,VIC,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Deakin,VIC,0
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Deakin,VIC,1
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Chisholm,VIC,1
ALP,ages18to29,Female,bachelorDegree,Wright,QLD,1
ALP,ages60plus,Female,bachelorDegree,Bonner,QLD,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Brisbane,QLD,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Brisbane,QLD,1
GRN,ages18to29,Male,bachelorDegree,Lyne,NSW,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Petrie,QLD,0
LNP,ages60plus,Male,gradDipDipCertIIIandIV,Bowman,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Bonner,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Brisbane,QLD,0
GRN,ages30to44,Female,postgraduateDegree,Moreton,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Petrie,QLD,0
LNP,ages60plus,Male,gradDipDipCertIIIandIV,Moreton,QLD,0
LNP,ages45to59,Male,postgraduateDegree,Ryan,QLD,0
Other,ages30to44,Male,highSchoolorCertIorIIorLess,Dickson,QLD,0
Other,ages30to44,Male,gradDipDipCertIIIandIV,Moreton,QLD,0
Other,ages60plus,Male,postgraduateDegree,Moreton,QLD,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Moreton,QLD,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Moreton,QLD,0
GRN,ages45to59,Female,highSchoolorCertIorIIorLess,Moreton,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Dickson,QLD,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Brisbane,QLD,0
ALP,ages60plus,Male,bachelorDegree,Brisbane,QLD,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Oxley,QLD,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Longman,QLD,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Brisbane,QLD,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Dickson,QLD,0
Other,ages18to29,Male,highSchoolorCertIorIIorLess,Brisbane,QLD,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Blair,QLD,1
LNP,ages45to59,Female,postgraduateDegree,Brisbane,QLD,0
GRN,ages30to44,Female,gradDipDipCertIIIandIV,Ryan,QLD,0
GRN,ages45to59,Female,postgraduateDegree,Griffith,QLD,0
ALP,ages45to59,Female,bachelorDegree,Griffith,QLD,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Ryan,QLD,0
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Dickson,QLD,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Moreton,QLD,0
ALP,ages45to59,Male,postgraduateDegree,Dickson,QLD,1
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Bonner,QLD,0
GRN,ages18to29,Female,postgraduateDegree,Dawson,QLD,0
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Kennedy,QLD,0
ALP,ages30to44,Female,postgraduateDegree,Leichhardt,QLD,1
LNP,ages30to44,Male,bachelorDegree,Kennedy,QLD,0
LNP,ages45to59,Female,bachelorDegree,Kennedy,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Wide Bay,QLD,0
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Wide Bay,QLD,1
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Wide Bay,QLD,1
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Hinkler,QLD,0
Other,ages30to44,Male,gradDipDipCertIIIandIV,Hinkler,QLD,0
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,Flynn,QLD,0
ALP,ages45to59,Female,bachelorDegree,Maranoa,QLD,1
LNP,ages18to29,Male,bachelorDegree,Herbert,QLD,0
LNP,ages30to44,Female,postgraduateDegree,Groom,QLD,0
ALP,ages45to59,Female,postgraduateDegree,Groom,QLD,1
ALP,ages60plus,Female,bachelorDegree,Groom,QLD,1
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,New England,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Maranoa,QLD,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Maranoa,QLD,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Kennedy,QLD,0
ALP,ages18to29,Female,bachelorDegree,Herbert,QLD,1
Other,ages18to29,Male,bachelorDegree,Herbert,QLD,0
Other,ages30to44,Female,gradDipDipCertIIIandIV,Kennedy,QLD,0
LNP,ages45to59,Female,bachelorDegree,Capricornia,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Dawson,QLD,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Capricornia,QLD,1
Other,ages18to29,Male,gradDipDipCertIIIandIV,Fairfax,QLD,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Wide Bay,QLD,1
LNP,ages60plus,Female,gradDipDipCertIIIandIV,Fairfax,QLD,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Fairfax,QLD,1
Other,ages45to59,Female,bachelorDegree,Fairfax,QLD,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Wright,QLD,0
Other,ages18to29,Male,gradDipDipCertIIIandIV,Blair,QLD,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Fairfax,QLD,1
ALP,ages45to59,Female,postgraduateDegree,Wide Bay,QLD,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Fisher,QLD,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Longman,QLD,1
ALP,ages30to44,Male,postgraduateDegree,Longman,QLD,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Longman,QLD,0
LNP,ages45to59,Male,bachelorDegree,Longman,QLD,0
GRN,ages30to44,Male,highSchoolorCertIorIIorLess,Longman,QLD,0
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Groom,QLD,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,McPherson,QLD,0
LNP,ages45to59,Female,postgraduateDegree,Moncrieff,QLD,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Moncrieff,QLD,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Wright,QLD,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,McPherson,QLD,1
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Moncrieff,QLD,1
ALP,ages45to59,Male,bachelorDegree,McPherson,QLD,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Page,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Forde,QLD,1
Other,ages30to44,Male,gradDipDipCertIIIandIV,Forde,QLD,0
ALP,ages45to59,Male,postgraduateDegree,Moncrieff,QLD,1
GRN,ages45to59,Female,bachelorDegree,Fadden,QLD,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Moncrieff,QLD,0
GRN,ages45to59,Female,bachelorDegree,Forde,QLD,0
