Year,Elect_div,State,PollingPlaceID,Latitude,Longitude
2016,Calare,NSW,252,-32.3616,149.534
2016,Calare,NSW,253,-33.6487525,150.0490689
2016,Calare,NSW,254,-32.7854,149.462
2016,Calare,NSW,1767,-33.551,150.188
2016,Calare,NSW,255,-33.4799,150.149
2016,Calare,NSW,256,-33.0349,149.416
2016,Calare,NSW,258,-32.9668,149.856
2016,Calare,NSW,259,-32.856,149.975
2016,Calare,NSW,260,-33.4176,149.604
2016,Calare,NSW,262,-33.4818,150.16
2016,Calare,NSW,33864,-33.4803506,150.1617444
2016,Calare,NSW,265,-33.3445,149.161
2016,Calare,NSW,266,-32.6566633,149.8455213
2016,Calare,NSW,267,-33.6738179,149.0445601
2016,Calare,NSW,269,-33.6518,149.07
2016,Calare,NSW,2201,-33.1837915,148.691797
2016,Calare,NSW,272,-33.4344484,149.9201679
2016,Calare,NSW,273,-33.4454758,149.1857157
2016,Calare,NSW,2203,-33.0948742,148.865605
2016,Calare,NSW,276,-32.5914,149.592
2016,Calare,NSW,277,-32.5984,149.583
2016,Calare,NSW,33888,-32.5905524,149.5882452
2016,Calare,NSW,279,-32.6066,149.584
2016,Calare,NSW,2205,-33.1391,149.121
2016,Calare,NSW,2207,-32.7219,149.051
2016,Calare,NSW,2209,-33.2940709,149.0123866
2016,Calare,NSW,280,-33.709,149.217
2016,Calare,NSW,1796,-33.5245,149.72
2016,Calare,NSW,282,-33.466,150.183
2016,Calare,NSW,1795,-33.7021,149.859
2016,Calare,NSW,283,-33.2854901,149.0968798
2016,Calare,NSW,284,-33.2848161,149.1078578
2016,Calare,NSW,230,-33.3169716,149.0936057
2016,Calare,NSW,286,-33.2798185,149.0946465
2016,Calare,NSW,65686,-33.2583532,149.0726671
2016,Calare,NSW,33863,-33.284083,149.100518
2016,Calare,NSW,287,-33.293091,149.0970536
2016,Calare,NSW,288,-33.2809,149.086
2016,Calare,NSW,289,-33.4065823,149.5675278
2016,Calare,NSW,290,-33.4912774,149.5491994
2016,Calare,NSW,291,-33.3551735,149.9792727
2016,Calare,NSW,294,-33.4283,149.648
2016,Calare,NSW,1803,-33.69226,149.56285
2016,Calare,NSW,297,-32.795781,149.972821
2016,Calare,NSW,299,-33.3997,149.151
2016,Calare,NSW,300,-33.3940137,149.0967575
2016,Calare,NSW,2223,-32.8023,149.069
2016,Sydney,NSW,14036,-33.8730501,151.2064528
2016,Calare,NSW,1808,-33.8222481,149.3288065
2016,Calare,NSW,306,-33.4848816,150.1348122
2016,Calare,NSW,307,-32.2822,149.743
2016,Calare,NSW,309,-33.4196,150.071
2016,Calare,NSW,310,-33.1422,149.692
2016,Calare,NSW,2235,-32.5576237,148.9420174
2016,Calare,NSW,2236,-32.5551,148.952
2016,Calare,NSW,311,-32.6610913,149.4866753
2016,Calare,NSW,2240,-32.7549609,148.6500868
2016,Calare,NSW,261,-33.4478,149.817
2016,Chifley,NSW,413,-33.78707,150.89061
2016,Chifley,NSW,385,-33.7339,150.826
2016,Chifley,NSW,386,-33.7395,150.816
2016,Greenway,NSW,388,-33.78035,150.9058
2016,Chifley,NSW,12049,-33.7705,150.893
2016,Lindsay,NSW,65405,-33.752017,150.690599
2016,Chifley,NSW,1027,-33.7339,150.858
2016,Chifley,NSW,392,-33.7475,150.817
2016,Greenway,NSW,30102,-33.77108,150.90931
2016,Chifley,NSW,393,-33.765,150.872
2016,Chifley,NSW,1028,-33.7563,150.875
2016,Chifley,NSW,31463,-33.7425,150.852
2016,Chifley,NSW,31030,-33.7361,150.84
2016,Chifley,NSW,397,-33.7477,150.825
2016,Chifley,NSW,399,-33.7381603,150.8008757
2016,Chifley,NSW,1036,-33.7565,150.895
2016,Chifley,NSW,1037,-33.7429,150.896
2016,Chifley,NSW,1038,-33.7606,150.885
2016,Chifley,NSW,1030,-33.7476227,150.8914958
2016,Chifley,NSW,1039,-33.696,150.834
2016,Chifley,NSW,402,-33.7672611,150.825511
2016,Chifley,NSW,33976,-33.767191,150.822265
2016,Chifley,NSW,403,-33.7639,150.812
2016,Chifley,NSW,404,-33.7749,150.814
2016,Chifley,NSW,406,-33.7491,150.838
2016,Chifley,NSW,1046,-33.7377,150.885
2016,Greenway,NSW,56862,-33.7292,150.896
2016,Chifley,NSW,407,-33.769,150.841
2016,Chifley,NSW,408,-33.77585,150.84702
2016,Chifley,NSW,82531,-33.7331733,150.7826436
2016,Chifley,NSW,411,-33.7278,150.807
2016,Sydney,NSW,14039,-33.8730501,151.2064528
2016,Chifley,NSW,412,-33.7453707,150.7948779
2016,Chifley,NSW,414,-33.7526,150.81
2016,Chifley,NSW,415,-33.7256,150.794
2016,Chifley,NSW,32335,-33.7496,150.882
2016,Cook,NSW,33,-33.996455,151.1066889
2016,Cook,NSW,65420,-34.03313,151.101818
2016,Barton,NSW,80144,-33.9627,151.148
2016,Cook,NSW,417,-34.0507,151.133
2016,Cook,NSW,419,-34.0462315,151.1230705
2016,Cook,NSW,420,-34.03343,151.121
2016,Cook,NSW,418,-34.0537,151.123
2016,Cook,NSW,421,-34.0459,151.113
2016,Banks,NSW,80139,-33.9727,151.128
2016,Cook,NSW,40,-33.9834,151.116
2016,Banks,NSW,80121,-33.9855,151.1
2016,Cook,NSW,422,-34.0538,151.148
2016,Cook,NSW,423,-34.0573311,151.1530107
2016,Cook,NSW,424,-34.0484489,151.1515928
2016,Cook,NSW,425,-34.0653,151.154
2016,Cook,NSW,30103,-34.0332079,151.1022234
2016,Hughes,NSW,33875,-34.0303981,151.0627035
2016,Cook,NSW,445,-34.0389,151.158
2016,Cook,NSW,1207,-34.0371,151.084
2016,Cook,NSW,430,-34.0468,151.083
2016,Cook,NSW,429,-34.0265,151.088
2016,Hughes,NSW,80185,-34.0331,151.078
2016,Cook,NSW,49,-33.9839,151.123
2016,Cook,NSW,54,-33.9687,151.137
2016,Cook,NSW,433,-34.0108,151.204
2016,Cook,NSW,434,-34.0636292,151.1189871
2016,Cook,NSW,435,-34.0332,151.098
2016,Cook,NSW,436,-34.036371,151.1008735
2016,Cook,NSW,33960,-34.033418,151.1021422
2016,Cook,NSW,437,-34.0314,151.113
2016,Cook,NSW,52,-33.973,151.145
2016,Cook,NSW,69,-33.9847,151.138
2016,Cook,NSW,61,-33.982,151.144
2016,Cook,NSW,41,-33.9991,151.139
2016,Cook,NSW,68,-33.9951,151.13
2016,Sydney,NSW,14040,-33.8730501,151.2064528
2016,Cook,NSW,439,-34.0084,151.112
2016,Cook,NSW,441,-34.0124,151.098
2016,Cook,NSW,444,-34.0196,151.105
2016,Cook,NSW,443,-34.0189,151.123
2016,Cook,NSW,446,-34.0456,151.146
2016,Cook,NSW,447,-34.0479,151.103
2016,Cowper,NSW,474,-31.0554733,152.786424
2016,Cowper,NSW,31727,-30.3637,153.08
2016,Cowper,NSW,454,-30.8188,152.509
2016,Cowper,NSW,456,-30.4516,152.895
2016,Cowper,NSW,65448,-31.0807034,152.828489
2016,Cowper,NSW,458,-30.3346,153.077
2016,Cowper,NSW,459,-30.3847392,153.0506212
2016,Cowper,NSW,32370,-30.2747,152.629
2016,Cowper,NSW,460,-30.6436,152.854
2016,Cowper,NSW,462,-30.2917485,153.1192336
2016,Cowper,NSW,464,-30.2987,153.118
2016,Cowper,NSW,33739,-30.2955163,153.1119718
2016,Cowper,NSW,465,-30.3055,153.136
